통계년월,통계시도명,통계시군구명,장애유형,성별,수급자수
202206,서울특별시,종로구,청각,남성,34
202206,서울특별시,종로구,청각,여성,28
202206,서울특별시,종로구,언어,남성,7
202206,서울특별시,종로구,지적,남성,193
202206,서울특별시,종로구,지적,여성,153
202206,서울특별시,종로구,뇌병변,남성,47
202206,서울특별시,종로구,뇌병변,여성,61
202206,서울특별시,종로구,자폐성,남성,33
202206,서울특별시,종로구,자폐성,여성,9
202206,서울특별시,종로구,정신,남성,31
202206,서울특별시,종로구,정신,여성,77
202206,서울특별시,종로구,신장,남성,64
202206,서울특별시,종로구,신장,여성,39
202206,서울특별시,종로구,지체,여성,21
202206,서울특별시,종로구,심장,여성,2
202206,서울특별시,종로구,호흡기,남성,5
202206,서울특별시,종로구,간,남성,1
202206,서울특별시,종로구,뇌전증,여성,2
202206,서울특별시,종로구,시각,남성,45
202206,서울특별시,종로구,시각,여성,50
202206,서울특별시,종로구,지체,남성,44
202206,서울특별시,중구,지체,남성,55
202206,서울특별시,중구,청각,남성,28
202206,서울특별시,중구,청각,여성,28
202206,서울특별시,중구,언어,남성,1
202206,서울특별시,중구,언어,여성,1
202206,서울특별시,중구,지적,남성,70
202206,서울특별시,중구,지적,여성,57
202206,서울특별시,중구,뇌병변,남성,60
202206,서울특별시,중구,뇌병변,여성,47
202206,서울특별시,중구,자폐성,남성,19
202206,서울특별시,중구,자폐성,여성,6
202206,서울특별시,중구,정신,남성,23
202206,서울특별시,중구,정신,여성,16
202206,서울특별시,중구,신장,남성,49
202206,서울특별시,중구,지체,여성,25
202206,서울특별시,중구,신장,여성,43
202206,서울특별시,중구,호흡기,남성,7
202206,서울특별시,중구,호흡기,여성,1
202206,서울특별시,중구,간,여성,1
202206,서울특별시,중구,안면,남성,1
202206,서울특별시,중구,뇌전증,여성,1
202206,서울특별시,중구,시각,남성,40
202206,서울특별시,중구,시각,여성,52
202206,서울특별시,용산구,청각,여성,43
202206,서울특별시,용산구,지체,남성,51
202206,서울특별시,용산구,언어,남성,4
202206,서울특별시,용산구,언어,여성,1
202206,서울특별시,용산구,지적,남성,114
202206,서울특별시,용산구,지적,여성,83
202206,서울특별시,용산구,뇌병변,남성,58
202206,서울특별시,용산구,뇌병변,여성,65
202206,서울특별시,용산구,자폐성,남성,28
202206,서울특별시,용산구,자폐성,여성,5
202206,서울특별시,용산구,지체,여성,30
202206,서울특별시,용산구,정신,남성,26
202206,서울특별시,용산구,정신,여성,24
202206,서울특별시,용산구,신장,남성,89
202206,서울특별시,용산구,신장,여성,49
202206,서울특별시,용산구,호흡기,남성,7
202206,서울특별시,용산구,호흡기,여성,3
202206,서울특별시,용산구,장루.요루,여성,1
202206,서울특별시,용산구,뇌전증,남성,3
202206,서울특별시,용산구,시각,남성,41
202206,서울특별시,용산구,뇌전증,여성,1
202206,서울특별시,용산구,시각,여성,46
202206,서울특별시,용산구,청각,남성,28
202206,서울특별시,성동구,청각,남성,59
202206,서울특별시,성동구,지체,남성,83
202206,서울특별시,성동구,청각,여성,41
202206,서울특별시,성동구,언어,남성,8
202206,서울특별시,성동구,언어,여성,2
202206,서울특별시,성동구,지적,남성,150
202206,서울특별시,성동구,지적,여성,105
202206,서울특별시,성동구,뇌병변,남성,99
202206,서울특별시,성동구,뇌병변,여성,94
202206,서울특별시,성동구,자폐성,남성,57
202206,서울특별시,성동구,자폐성,여성,9
202206,서울특별시,성동구,정신,남성,47
202206,서울특별시,성동구,정신,여성,44
202206,서울특별시,성동구,신장,남성,130
202206,서울특별시,성동구,지체,여성,49
202206,서울특별시,성동구,신장,여성,87
202206,서울특별시,성동구,심장,남성,1
202206,서울특별시,성동구,심장,여성,2
202206,서울특별시,성동구,호흡기,남성,20
202206,서울특별시,성동구,호흡기,여성,5
202206,서울특별시,성동구,간,남성,1
202206,서울특별시,성동구,안면,남성,1
202206,서울특별시,성동구,뇌전증,남성,1
202206,서울특별시,성동구,뇌전증,여성,2
202206,서울특별시,성동구,시각,남성,42
202206,서울특별시,성동구,시각,여성,41
202206,서울특별시,광진구,청각,남성,45
202206,서울특별시,광진구,지체,남성,74
202206,서울특별시,광진구,청각,여성,37
202206,서울특별시,광진구,언어,남성,5
202206,서울특별시,광진구,언어,여성,3
202206,서울특별시,광진구,지적,남성,181
202206,서울특별시,광진구,지적,여성,160
202206,서울특별시,광진구,뇌병변,남성,103
202206,서울특별시,광진구,뇌병변,여성,93
202206,서울특별시,광진구,자폐성,남성,63
202206,서울특별시,광진구,자폐성,여성,9
202206,서울특별시,광진구,정신,남성,53
202206,서울특별시,광진구,정신,여성,51
202206,서울특별시,광진구,지체,여성,55
202206,서울특별시,광진구,신장,남성,131
202206,서울특별시,광진구,신장,여성,103
202206,서울특별시,광진구,호흡기,남성,14
202206,서울특별시,광진구,호흡기,여성,1
202206,서울특별시,광진구,간,여성,1
202206,서울특별시,광진구,안면,여성,1
202206,서울특별시,광진구,뇌전증,남성,1
202206,서울특별시,광진구,시각,남성,37
202206,서울특별시,광진구,시각,여성,41
202206,서울특별시,동대문구,지체,남성,139
202206,서울특별시,동대문구,청각,남성,84
202206,서울특별시,동대문구,청각,여성,75
202206,서울특별시,동대문구,언어,남성,14
202206,서울특별시,동대문구,언어,여성,3
202206,서울특별시,동대문구,지적,남성,234
202206,서울특별시,동대문구,지적,여성,136
202206,서울특별시,동대문구,뇌병변,남성,152
202206,서울특별시,동대문구,뇌병변,여성,150
202206,서울특별시,동대문구,자폐성,남성,55
202206,서울특별시,동대문구,자폐성,여성,9
202206,서울특별시,동대문구,정신,남성,65
202206,서울특별시,동대문구,정신,여성,56
202206,서울특별시,동대문구,신장,남성,183
202206,서울특별시,동대문구,신장,여성,142
202206,서울특별시,동대문구,심장,남성,3
202206,서울특별시,동대문구,호흡기,남성,17
202206,서울특별시,동대문구,지체,여성,81
202206,서울특별시,동대문구,호흡기,여성,5
202206,서울특별시,동대문구,간,남성,2
202206,서울특별시,동대문구,안면,남성,1
202206,서울특별시,동대문구,뇌전증,여성,2
202206,서울특별시,동대문구,시각,남성,77
202206,서울특별시,동대문구,시각,여성,53
202206,서울특별시,중랑구,청각,남성,110
202206,서울특별시,중랑구,청각,여성,113
202206,서울특별시,중랑구,언어,남성,17
202206,서울특별시,중랑구,언어,여성,9
202206,서울특별시,중랑구,지적,남성,340
202206,서울특별시,중랑구,지적,여성,233
202206,서울특별시,중랑구,뇌병변,남성,246
202206,서울특별시,중랑구,뇌병변,여성,258
202206,서울특별시,중랑구,자폐성,남성,97
202206,서울특별시,중랑구,자폐성,여성,19
202206,서울특별시,중랑구,정신,남성,104
202206,서울특별시,중랑구,정신,여성,87
202206,서울특별시,중랑구,신장,남성,305
202206,서울특별시,중랑구,신장,여성,247
202206,서울특별시,중랑구,심장,남성,6
202206,서울특별시,중랑구,지체,여성,175
202206,서울특별시,중랑구,심장,여성,2
202206,서울특별시,중랑구,호흡기,남성,39
202206,서울특별시,중랑구,호흡기,여성,5
202206,서울특별시,중랑구,간,남성,2
202206,서울특별시,중랑구,안면,여성,1
202206,서울특별시,중랑구,장루.요루,남성,1
202206,서울특별시,중랑구,뇌전증,남성,1
202206,서울특별시,중랑구,뇌전증,여성,2
202206,서울특별시,중랑구,기타,남성,1
202206,서울특별시,중랑구,시각,남성,109
202206,서울특별시,중랑구,지체,남성,279
202206,서울특별시,중랑구,시각,여성,105
202206,서울특별시,성북구,청각,남성,98
202206,서울특별시,성북구,지체,남성,138
202206,서울특별시,성북구,청각,여성,79
202206,서울특별시,성북구,언어,남성,6
202206,서울특별시,성북구,언어,여성,2
202206,서울특별시,성북구,지적,남성,286
202206,서울특별시,성북구,지적,여성,192
202206,서울특별시,성북구,뇌병변,남성,169
202206,서울특별시,성북구,뇌병변,여성,182
202206,서울특별시,성북구,자폐성,남성,62
202206,서울특별시,성북구,자폐성,여성,9
202206,서울특별시,성북구,정신,남성,68
202206,서울특별시,성북구,정신,여성,46
202206,서울특별시,성북구,신장,남성,193
202206,서울특별시,성북구,신장,여성,154
202206,서울특별시,성북구,지체,여성,109
202206,서울특별시,성북구,심장,남성,2
202206,서울특별시,성북구,심장,여성,1
202206,서울특별시,성북구,호흡기,남성,20
202206,서울특별시,성북구,호흡기,여성,6
202206,서울특별시,성북구,간,여성,1
202206,서울특별시,성북구,안면,남성,1
202206,서울특별시,성북구,안면,여성,1
202206,서울특별시,성북구,장루.요루,남성,1
202206,서울특별시,성북구,뇌전증,남성,2
202206,서울특별시,성북구,뇌전증,여성,2
202206,서울특별시,성북구,기타,여성,1
202206,서울특별시,성북구,시각,남성,93
202206,서울특별시,성북구,시각,여성,103
202206,서울특별시,강북구,청각,남성,118
202206,서울특별시,강북구,청각,여성,121
202206,서울특별시,강북구,언어,남성,17
202206,서울특별시,강북구,언어,여성,3
