기준월,사업자구분,  영업횟수  ,  운행거리(km)  ,  운행시간(시간)  ,  실차거리(km)  ,  실차시간(시간)  ,  공차거리(km)  ,  공차시간(시간)  ,비고
2018-01,일반,3920011 ,34689589 ,1588971 ,18073114 ,667173 ,16616475 ,921797 ,총합계
2018-02,일반,4891778 ,41627334 ,1864065 ,22643780 ,830997 ,18983554 ,1033068 ,총합계
2018-03,일반,7444309 ,67596450 ,3097948 ,33972726 ,1236595 ,33623724 ,1861353 ,총합계
2018-04,일반,8122031 ,76184633 ,3395979 ,38042737 ,1379764 ,38141897 ,2016214 ,총합계
2018-05,일반,12100412 ,110708674 ,5027629 ,58668190 ,2106226 ,52040483 ,2921402 ,총합계
2018-06,일반,12862490 ,119796379 ,5456591 ,62994061 ,2234615 ,56802318 ,3221975 ,총합계
2018-07,일반,13563240 ,123352799 ,5859043 ,65514748 ,2377079 ,57838051 ,3481963 ,총합계
2018-08,일반,16513889 ,148722414 ,6916319 ,78479550 ,2828227 ,70242864 ,4088091 ,총합계
2018-09,개인,841930 ,10218835 ,350764 ,3340750 ,124330 ,6878086 ,226434 ,총합계
2018-09,일반,20571221 ,186862340 ,8325543 ,100531316 ,3584149 ,86331024 ,4741393 ,총합계
2018-01,개인,848679 ,10175094 ,363231 ,3351569 ,123917 ,6823525 ,239314 ,총합계
2018-01,일반,21482125 ,200867477 ,9121774 ,103735839 ,3676811 ,97131638 ,5444962 ,총합계
2018-11,개인,835417 ,10562683 ,365790 ,3333699 ,121702 ,7228983 ,244087 ,총합계
2018-11,일반,21822055 ,205314723 ,9397512 ,105089443 ,3689797 ,100225281 ,5707715 ,총합계
2018-12,개인,902408 ,10894674 ,381186 ,3584194 ,131285 ,7310480 ,249901 ,총합계
2018-12,일반,23699699 ,220105483 ,9837349 ,113651426 ,3968499 ,106454057 ,5868850 ,총합계
2019-01,개인,920755 ,12593556 ,415368 ,3616078 ,131775 ,8977477 ,283592 ,총합계
2019-01,일반,23865552 ,228102200 ,10132041 ,110583197 ,3804017 ,117519004 ,6328023 ,총합계
2019-02,개인,864748 ,10936109 ,366598 ,3499362 ,125487 ,7436748 ,241111 ,총합계
2019-02,일반,22800966 ,214255288 ,9078870 ,106868072 ,3664405 ,107387216 ,5414464 ,총합계
2019-03,개인,947843 ,12358229 ,426925 ,3816219 ,136243 ,8542010 ,290682 ,총합계
2019-03,일반,24932336 ,235081710 ,10517888 ,116681529 ,4022955 ,118400181 ,6494933 ,총합계
2019-04,개인,898945 ,10339481 ,417875 ,3685807 ,130697 ,6653674 ,287177 ,총합계
2019-04,일반,24487671 ,235244967 ,10777454 ,115531341 ,4010732 ,119713626 ,6766721 ,총합계
2019-05,개인,1163507 ,10777085 ,486324 ,4706226 ,170798 ,6070859 ,315526 ,총합계
2019-05,일반,25564986 ,243604110 ,11170766 ,121747217 ,4219671 ,121856893 ,6951095 ,총합계
2019-06,개인,1300251 ,11905197 ,563080 ,5205828 ,190861 ,6699369 ,372218 ,총합계
2019-06,일반,24387388 ,237721895 ,10792124 ,116843446 ,4021116 ,120878449 ,6771008 ,총합계
2019-07,개인,1536213 ,14217005 ,684490 ,5877184 ,220785 ,8339821 ,463705 ,총합계
2019-07,일반,24638057 ,240765857 ,11059651 ,116834068 ,4077173 ,123931789 ,6982477 ,총합계
2019-08,개인,2102274 ,19585272 ,918217 ,7927164 ,296670 ,11658109 ,621546 ,총합계
2019-08,일반,25799851 ,244308756 ,11288985 ,121973623 ,4279242 ,122335133 ,7009743 ,총합계
2019-09,개인,2647928 ,24327996 ,1066180 ,9871635 ,368735 ,14456360 ,697444 ,총합계
2019-09,일반,24429946 ,232240546 ,10304489 ,116272618 ,4088537 ,115967928 ,6215951 ,총합계
2019-01,개인,3484063 ,32848097 ,1431233 ,12902950 ,479779 ,19945147 ,951454 ,총합계
2019-01,일반,26294239 ,249730616 ,11389451 ,126093781 ,4404190 ,123636835 ,6985260 ,총합계
2019-11,개인,4224676 ,38328683 ,1745446 ,15860606 ,582182 ,22468077 ,1163264 ,총합계
2019-11,일반,27782958 ,265560282 ,11952685 ,133676065 ,4680379 ,131884217 ,7272306 ,총합계
2019-12,개인,5265739 ,47552623 ,2129524 ,19842118 ,723450 ,27710505 ,1406073 ,총합계
2019-12,일반,30496904 ,295408790 ,12780856 ,147396494 ,5108775 ,148012296 ,7672080 ,총합계
2020-01,개인,5993753 ,53879566 ,2528344 ,22323759 ,812360 ,31555807 ,1715984 ,총합계
2020-01,일반,29293220 ,285810667 ,12827474 ,140278521 ,4783413 ,145532146 ,8044060 ,총합계
2020-02,개인,5053544 ,47727079 ,2416784 ,18535131 ,669633 ,29191948 ,1747151 ,총합계
2020-02,일반,23897003 ,245850327 ,11568037 ,112625940 ,3781408 ,133224387 ,7786629 ,총합계
2020-03,개인,4139348 ,44316389 ,2384744 ,15162385 ,538975 ,29154004 ,1845768 ,총합계
2020-03,일반,19538047 ,215541797 ,10552808 ,90409975 ,2984695 ,125131823 ,7568113 ,총합계
2020-04,개인,4761354 ,49337073 ,2575143 ,17669875 ,638277 ,31667198 ,1936865 ,총합계
2020-04,일반,21500577 ,229728940 ,11034547 ,100414745 ,3382831 ,129314195 ,7651716 ,총합계
2020-05,개인,6202226 ,61251611 ,3005480 ,23533387 ,870796 ,37718224 ,2134683 ,총합계
2020-05,일반,24955256 ,253735581 ,11746836 ,117342233 ,4021731 ,136393349 ,7725105 ,총합계
2020-06,개인,7216185 ,67237447 ,3354336 ,27441154 ,1028147 ,39796294 ,2326188 ,총합계
2020-06,일반,25511573 ,254038716 ,11804392 ,120513915 ,4202393 ,133524801 ,7601998 ,총합계
2020-07,개인,7609125 ,68522056 ,3513569 ,29102755 ,1088525 ,39419302 ,2425044 ,총합계
2020-07,일반,26787023 ,265913124 ,12243198 ,128097495 ,4443756 ,137815630 ,7799442 ,총합계
2020-08,개인,7357767 ,67634515 ,3500815 ,28134304 ,1049166 ,39500211 ,2451649 ,총합계
2020-08,일반,25864807 ,257703882 ,12046742 ,122681075 ,4266750 ,135022808 ,7779992 ,총합계
2020-09,개인,6890748 ,66266197 ,3493347 ,26154689 ,978326 ,40111507 ,2515020 ,총합계
2020-09,일반,23190249 ,237553722 ,11401059 ,109916597 ,3862446 ,127637126 ,7538613 ,총합계
2020-01,개인,8633849 ,80407195 ,3991223 ,33689310 ,1234468 ,46717885 ,2756754 ,총합계
2020-01,일반,26725414 ,266882936 ,12057381 ,130342867 ,4449433 ,136540070 ,7607948 ,총합계
2020-11,개인,9581891 ,89871499 ,4539630 ,37818454 ,1385799 ,52053044 ,3153831 ,총합계
2020-11,일반,25999886 ,261185502 ,11924387 ,126433170 ,4363074 ,134752332 ,7561312 ,총합계
2020-12,개인,9103635 ,91824703 ,5115392 ,34930390 ,1283970 ,56894313 ,3831421 ,총합계
2020-12,일반,21658921 ,234975405 ,11631071 ,103355533 ,3635835 ,131619872 ,7995236 ,총합계
2021-01,개인,9312895 ,94573638 ,5459802 ,35737371 ,1324366 ,58836267 ,4135435 ,총합계
2021-01,일반,21286996 ,232609732 ,11801006 ,102488827 ,3642336 ,130120905 ,8158669 ,총합계
2021-02,개인,10180643 ,97581247 ,5219232 ,39999441 ,1473725 ,57581806 ,3745506 ,총합계
2021-02,일반,22270678 ,229982709 ,10925516 ,109013749 ,3836216 ,120968960 ,7089300 ,총합계
2021-03,개인,11750169 ,112897639 ,5938117 ,46069996 ,1693333 ,66827643 ,4244784 ,총합계
2021-03,일반,25897527 ,264951180 ,12320871 ,127055585 ,4421856 ,137895595 ,7899014 ,총합계
2021-04,개인,11371603 ,110731126 ,5737222 ,45020211 ,1654278 ,65710915 ,4082944 ,총합계
2021-04,일반,24808862 ,256323127 ,11939394 ,123569194 ,4323732 ,132753933 ,7615662 ,총합계
2021-05,개인,11986188 ,114648701 ,5871873 ,47629847 ,1751720 ,67018854 ,4120152 ,총합계
2021-05,일반,25548251 ,261498198 ,11971483 ,127916359 ,4480786 ,133581839 ,7490697 ,총합계
2021-06,개인,12270395 ,114861272 ,5847723 ,48642623 ,1797207 ,66218649 ,4050516 ,총합계
2021-06,일반,25184270 ,255436592 ,11687671 ,126173153 ,4431174 ,129263440 ,7256496 ,총합계
2021-07,개인,12553936 ,115950752 ,6085633 ,48837497 ,1828968 ,67113255 ,4256665 ,총합계
2021-07,일반,25373362 ,254967634 ,12101606 ,124354450 ,4411560 ,130613184 ,7690046 ,총합계
2021-08,개인,11507605 ,109331886 ,5757503 ,45040701 ,1681902 ,64291185 ,4075600 ,총합계
2021-08,일반,23302691 ,239792620 ,11496966 ,114640257 ,4095280 ,125152363 ,7401686 ,총합계
2021-09,개인,12040644 ,112160333 ,5591196 ,48011348 ,1812493 ,64148985 ,3778703 ,총합계
2021-09,일반,23932308 ,242248817 ,11095217 ,119994054 ,4317713 ,122254763 ,6777503 ,총합계
2021-01,개인,12807334 ,119430486 ,5841661 ,51910128 ,1931176 ,67520359 ,3910484 ,총합계
2021-01,일반,25529785 ,256494737 ,11534092 ,130828379 ,4609676 ,125666358 ,6924415 ,총합계
2021-11,개인,13220406 ,120404884 ,5804088 ,54000135 ,1999220 ,66404749 ,3804868 ,총합계
2021-11,일반,26719997 ,259427973 ,11490857 ,138588412 ,4809590 ,120839561 ,6681266 ,총합계
2021-12,개인,12896646 ,116975511 ,5865842 ,52238415 ,1948480 ,64737096 ,3917361 ,총합계
2021-12,일반,25438406 ,251281368 ,11532982 ,131059470 ,4594511 ,120221898 ,6938470 ,총합계
