"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2021","전국","계",51333252.5,259510.5,289615.5,318803.5,347606.5,387871.5,428349,442373,440854,465347,482729.5,474603.5,460538,458068,481847,472161.5,442219,454048.5,482165.5,492002.5,524630.5,596394,626296.5,626372,651725.5,674227,692376.5,706614.5,707753,713547.5,709683.5,667698,632322,625052.5,618356.5,619074.5,636092.5,652595,699593,778644.5,823760.5,830614.5,823895,766533,742151,761686.5,766688,813249,863391.5,880546,903752,914310,904150,907379,875859.5,821124.5,815081,822608.5,792862,815098.5,873108.5,891924,860420,789031.5,748795,707641,682068,640687,547047.5,531852.5,480215,416031.5,429122,427136,424044,378803,314437.5,302770.5,308912.5,338966,332883.5,2022853.5,275901,255032,237734.5,208778.5,185811.5,859596,166367,144283,117732,96891,78001.5,61675,50946.5,40545.5,30882.5,21661.5,14820.5,10490.5,8226.5,6448,4043.5,6581.5
"2021","전국","남자",25589102,132907,148527,163645,178611,198980.5,219324,226638.5,225796,238573,247679,244066,237236,235727.5,247769,243324,228713.5,235116.5,249913.5,255764,273001.5,310608.5,326574.5,326718.5,338859,351546,364598,374439.5,376111.5,377343.5,372441,351328.5,331764.5,325425.5,319366,318662,328029.5,334501,357518.5,396899.5,419947.5,423598.5,417497.5,390636.5,377617,385814.5,389009,412380.5,436592,445953,461257.5,464914.5,456912,455418,435211,415771.5,415547.5,413113.5,401359.5,413544,437765,440904.5,423937.5,390544,371681.5,349007.5,331231.5,310540.5,265151.5,254797,229243,197368.5,202315.5,200439,196575,173732,142715,133311,132357.5,142722,137336.5,679284,110352,98834.5,89504,75897,64784.5,239912,55187.5,45625.5,35366.5,27436.5,20629.5,14919.5,11857.5,9080.5,6375.5,4224.5,2705.5,1968.5,1618,1204,693,1020
"2021","전국","여자",25744150.5,126603.5,141088.5,155158.5,168995.5,188891,209025,215734.5,215058,226774,235050.5,230537.5,223302,222340.5,234078,228837.5,213505.5,218932,232252,236238.5,251629,285785.5,299722,299653.5,312866.5,322681,327778.5,332175,331641.5,336204,337242.5,316369.5,300557.5,299627,298990.5,300412.5,308063,318094,342074.5,381745,403813,407016,406397.5,375896.5,364534,375872,377679,400868.5,426799.5,434593,442494.5,449395.5,447238,451961,440648.5,405353,399533.5,409495,391502.5,401554.5,435343.5,451019.5,436482.5,398487.5,377113.5,358633.5,350836.5,330146.5,281896,277055.5,250972,218663,226806.5,226697,227469,205071,171722.5,169459.5,176555,196244,195547,1343569.5,165549,156197.5,148230.5,132881.5,121027,619684,111179.5,98657.5,82365.5,69454.5,57372,46755.5,39089,31465,24507,17437,12115,8522,6608.5,5244,3350.5,5561.5
"2021","서울특별시","계",9453878,44286.5,47688,50989,54362,60091,65831,67745.5,67465.5,71143.5,73393.5,72628,71290,72153,76585,75891,71993.5,74555.5,79773,81462,89569.5,105204,113999,119425.5,131920,142554,152935.5,162110,166376,169322.5,168924.5,158323.5,147666,143950.5,139679.5,135795.5,135895,135430.5,140500.5,150888,155548.5,154660.5,152163.5,139550.5,133805.5,138162,138489,145889.5,154536,158841.5,164614,165955.5,161787.5,158509,151198.5,140101,138360.5,142079.5,138324,140252.5,147582.5,151814.5,149269.5,139436.5,134299.5,127967.5,125422.5,118910,102468.5,100110,88263,76783.5,81064,80540.5,80703,73275.5,61164.5,57303,56504.5,60419,58158.5,319793.5,47144.5,42196.5,38326.5,33131.5,28802,130192.5,25444.5,21588.5,17356,14352.5,11516,9161.5,7811,6369.5,4915,3511.5,2329.5,1664.5,1381,1028,671.5,1092
"2021","서울특별시","남자",4593754,22768.5,24677.5,26502.5,27972.5,30671.5,33693.5,34622.5,34590,36545.5,37619.5,37237.5,36511,37083.5,39390.5,39121,37203.5,38441.5,41043.5,41768,45190.5,51775.5,54749,56943.5,61904,66387.5,72370.5,78464.5,81971.5,83808,83659.5,79017.5,74054,72028,69480.5,67625.5,68094,67708,70432,75424,77890,77471.5,75179,69169.5,66146.5,67949,68460,72268.5,76259,78276,81846,82276,79876.5,77915,73237.5,69096,68769.5,69226,67819.5,68984,71610,72163.5,70816,66432.5,63848.5,60434,58539,55669.5,48173,46855.5,41270,35837,37497.5,37121.5,36877.5,33145,27675.5,25867,25276.5,27046.5,25901,119031.5,20512.5,17866,15861,13247,11024.5,40520.5,9329.5,7554,5776,4579.5,3427.5,2493,2070,1610,1156,773,469.5,367,329.5,235,135.5,215.5
"2021","서울특별시","여자",4860124,21518,23010.5,24486.5,26389.5,29419.5,32137.5,33123,32875.5,34598,35774,35390.5,34779,35069.5,37194.5,36770,34790,36114,38729.5,39694,44379,53428.5,59250,62482,70016,76166.5,80565,83645.5,84404.5,85514.5,85265,79306,73612,71922.5,70199,68170,67801,67722.5,70068.5,75464,77658.5,77189,76984.5,70381,67659,70213,70029,73621,78277,80565.5,82768,83679.5,81911,80594,77961,71005,69591,72853.5,70504.5,71268.5,75972.5,79651,78453.5,73004,70451,67533.5,66883.5,63240.5,54295.5,53254.5,46993,40946.5,43566.5,43419,43825.5,40130.5,33489,31436,31228,33372.5,32257.5,200762,26632,24330.5,22465.5,19884.5,17777.5,89672,16115,14034.5,11580,9773,8088.5,6668.5,5741,4759.5,3759,2738.5,1860,1297.5,1051.5,793,536,876.5
"2021","부산광역시","계",3343353,14447.5,16220.5,18322,20487,23080.5,25565,26398,26043,27217.5,28095.5,27338.5,25974,25503,26858.5,26181,24599.5,25460.5,27492,28413.5,30767,35656.5,38300,39850,41980,43809.5,44781,44721.5,44425.5,44472.5,43906.5,40800,38758.5,38245,37023.5,36765.5,37589,38911,42523.5,47603.5,51191,52653.5,52175.5,47918,45478.5,45609,46191.5,49560,52470.5,53977.5,55530,56500.5,56512,57082,56251,53122.5,52341,53008.5,52476.5,56160.5,61663,64323.5,62888,58780,57434.5,55509.5,54987.5,52066,44549.5,43477.5,40493.5,35631,35552,35478.5,34361.5,29893,24269,23542,24550.5,25551,24248.5,133307.5,20376.5,18438.5,16343,13888.5,12137.5,52123.5,10557,8991.5,7212.5,5833.5,4707.5,3600.5,2921,2446,1882.5,1260.5,827.5,592,418.5,331.5,210.5,331
"2021","부산광역시","남자",1636288,7446,8322,9368,10511,11788,13077,13601.5,13418.5,13996,14372.5,13971,13364,13134.5,13803,13487,12702.5,13126.5,14266.5,14803,15933,18301.5,19581.5,20581,21523,22746,23625.5,23521,23338.5,23259,22756.5,21286,20160.5,19663.5,18838,18835.5,19366,19846.5,21541,24114,25972,26746,26356,24414,23174,23022.5,23267.5,24872,26187.5,26968,27694.5,27922.5,27794.5,27791,26946,25912,25638.5,25436,25474,27233.5,29381,30264,29656,27916.5,27451,26450.5,25702.5,24707,21270.5,20268.5,18907.5,16616,16430.5,16240.5,15653.5,13592.5,11115.5,10550.5,10837.5,11091,10183.5,45804,8298,7273.5,6279,5163.5,4330.5,14459.5,3522,2818,2174.5,1643,1228,866.5,669.5,530,348.5,211,140,94,70,60.5,36,48
"2021","부산광역시","여자",1707065,7001.5,7898.5,8954,9976,11292.5,12488,12796.5,12624.5,13221.5,13723,13367.5,12610,12368.5,13055.5,12694,11897,12334,13225.5,13610.5,14834,17355,18718.5,19269,20457,21063.5,21155.5,21200.5,21087,21213.5,21150,19514,18598,18581.5,18185.5,17930,18223,19064.5,20982.5,23489.5,25219,25907.5,25819.5,23504,22304.5,22586.5,22924,24688,26283,27009.5,27835.5,28578,28717.5,29291,29305,27210.5,26702.5,27572.5,27002.5,28927,32282,34059.5,33232,30863.5,29983.5,29059,29285,27359,23279,23209,21586,19015,19121.5,19238,18708,16300.5,13153.5,12991.5,13713,14460,14065,87503.5,12078.5,11165,10064,8725,7807,37664,7035,6173.5,5038,4190.5,3479.5,2734,2251.5,1916,1534,1049.5,687.5,498,348.5,271,174.5,283
"2021","대구광역시","계",2387449.5,10671.5,12348.5,14028.5,15541.5,17680,19541.5,20174.5,20049,21064,21863,21438.5,20723,20691,22073.5,21836.5,20830.5,21566,23379,24078.5,25359.5,29132,30786,30730,31718.5,32594,32805.5,32495.5,31536,31444.5,31098,28938,27569.5,26703,25766.5,26109,26775.5,27218.5,29513.5,33475.5,35914.5,36539.5,36610.5,34164.5,33334.5,34902,35837.5,38152,40413.5,41961,43308,43618.5,43511.5,44442,43814.5,40822.5,39937.5,40459.5,38832.5,40077,43080,42700.5,41429.5,37654.5,34882,34042,32816,30213,26531,26722.5,24520.5,21051,21256,21488.5,20645,16995.5,13420.5,13830,15136.5,16238.5,15463.5,89333,12827.5,11855.5,10873,9346,8335.5,36095.5,7353.5,6389.5,5142.5,4184.5,3355,2504.5,1924,1526,1191.5,802.5,553,385,251,199,129.5,204.5
