,구별,총 장애인 수,총 발달장애인 수,장애인거주시설,장애인지역사회재활시설,장애인직업재활시설,거주시설_최대수용수,발달장애인은_거주시설_최대수용수의_몇배
0,종로구,5929,506,5,5,3,150,3
1,중구,5634,371,2,8,1,60,6
2,용산구,7686,653,3,7,1,90,7
3,성동구,11284,891,4,5,4,120,7
4,광진구,12253,994,1,9,4,30,33
5,동대문구,15518,1070,1,4,4,30,36
6,중랑구,20357,1577,2,3,7,60,26
7,성북구,17382,1387,4,3,2,120,12
8,강북구,17395,1393,18,8,4,540,3
9,도봉구,15300,1306,12,8,3,360,4
10,노원구,26904,2714,22,28,9,660,4
11,은평구,21756,2192,16,12,8,480,5
12,서대문구,12311,979,7,9,3,210,5
13,마포구,12945,1073,8,12,4,240,4
14,양천구,17525,1510,11,8,4,330,5
15,강서구,28546,2437,29,17,12,870,3
16,구로구,18374,1552,12,8,8,360,4
17,금천구,11458,921,8,7,7,240,4
18,영등포구,14495,1092,7,12,3,210,5
19,동작구,14417,1124,7,9,4,210,5
20,관악구,20211,1639,9,11,5,270,6
21,서초구,10291,1025,11,13,6,330,3
22,강남구,15182,1635,24,22,9,720,2
23,송파구,20356,2227,20,17,13,600,4
24,강동구,18614,1917,19,17,12,570,3
