사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
(주)한국경제신문,(J)정보통신업(58~63),서울특별시 중구,525,16,0,0
코우치코리아리미티드유한회사,(G)도매 및 소매업(45~47),서울특별시 중구,395,12,0,0
(주)필립스전자,(G)도매 및 소매업(45~47),서울특별시 중구,363,11,0,0
코리안리재보험(주),(K)금융 및 보험업(64~66),서울특별시 종로구,359,11,0,0
삼덕회계법인,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 종로구,346,10,0,0
중국동방항공공사 한국지점,(H)운수 및 창고업(49~52),서울특별시 중구,335,10,0,0
㈜삼양바이오팜,(C)제조업(10~34),서울특별시 종로구,334,10,0,0
(재단법인)중구문화재단,"(R)예술, 스포츠 및 여가관련 서비스업(90~91)",서울특별시 중구,55,1,0,0
(주)리치몬트코리아,(G)도매 및 소매업(45~47),서울특별시 중구,1163,36,2,0.17
홍콩상하이은행,(K)금융 및 보험업(64~66),서울특별시 중구,584,18,1,0.17
법무법인(유한)광장,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 중구,1141,35,2,0.18
샤넬코리아유한회사,(G)도매 및 소매업(45~47),서울특별시 중구,1550,48,3,0.19
(주)레드캡투어,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 중구,426,13,1,0.23
한국생산성본부,(P)교육 서비스업(85),서울특별시 종로구,377,11,1,0.27
(주)대림코퍼레이션,(G)도매 및 소매업(45~47),서울특별시 중구,703,21,2,0.28
(주)머니투데이,(J)정보통신업(58~63),서울특별시 종로구,332,10,1,0.3
(주)재능교육,(G)도매 및 소매업(45~47),서울특별시 동대문구,599,18,2,0.33
(주)동서세일즈프로모션,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 종로구,304,9,1,0.33
오렌지라이프생명보험주식회사,(K)금융 및 보험업(64~66),서울특별시 중구,756,23,3,0.4
팬오션주식회사,(H)운수 및 창고업(49~52),서울특별시 종로구,958,29,4,0.42
한국화이자제약(주),(C)제조업(10~34),서울특별시 중구,463,14,2,0.43
주식회사오케이저축은행,(K)금융 및 보험업(64~66),서울특별시 중구,1149,35,5,0.44
(주)한국씨티은행,(K)금융 및 보험업(64~66),서울특별시 중구,3422,106,16,0.47
주식회사서조코퍼레이션,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 중구,749,23,4,0.53
(주)아이비케이시스템,(J)정보통신업(58~63),서울특별시 중구,571,17,3,0.53
(주)간삼건축종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 중구,550,17,3,0.55
(주)벽산,(C)제조업(10~34),서울특별시 중구,350,10,2,0.57
(주)에스비아이저축은행,(K)금융 및 보험업(64~66),서울특별시 중구,521,16,3,0.58
씨비알이코리아(주),(L)부동산업(68),서울특별시 종로구,339,10,2,0.59
(주)태평양감정평가법인,(L)부동산업(68),서울특별시 중구,331,10,2,0.6
동양생명보험(주),(K)금융 및 보험업(64~66),서울특별시 종로구,979,30,6,0.61
아프로파이낸셜대부(주),(K)금융 및 보험업(64~66),서울특별시 중구,486,15,3,0.62
에이치엠엠(주),(H)운수 및 창고업(49~52),서울특별시 종로구,1320,40,9,0.68
(학교법인)덕성학원,(P)교육 서비스업(85),서울특별시 종로구,592,18,4,0.68
매일경제신문사,(J)정보통신업(58~63),서울특별시 중구,791,24,6,0.76
이지케어텍(주),(J)정보통신업(58~63),서울특별시 중구,388,12,3,0.77
(주)동아일보사,(J)정보통신업(58~63),서울특별시 종로구,639,19,5,0.78
신한생명보험(주),(K)금융 및 보험업(64~66),서울특별시 중구,1244,38,10,0.8
(주)한국스탠다드차타드은행,(K)금융 및 보험업(64~66),서울특별시 종로구,4122,127,34,0.82
대한유화(주),(C)제조업(10~34),서울특별시 종로구,858,26,7,0.82
지에이코리아주식회사,(K)금융 및 보험업(64~66),서울특별시 중구,1158,35,10,0.86
(주)신한디에스,(J)정보통신업(58~63),서울특별시 중구,932,28,8,0.86
(주)삼양인터내셔날,(G)도매 및 소매업(45~47),서울특별시 종로구,348,10,3,0.86
(주)연합뉴스,(J)정보통신업(58~63),서울특별시 종로구,898,27,8,0.89
인방산업(주),(F)건설업(41~42),서울특별시 종로구,334,10,3,0.9
현대무벡스주식회사,(J)정보통신업(58~63),서울특별시 종로구,317,9,3,0.95
오케이신용정보주식회사,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 중구,314,9,3,0.96
자이에너지운영주식회사,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 중구,488,15,5,1.02
학교법인 동국대학교,(P)교육 서비스업(85),서울특별시 중구,4687,145,49,1.05
(주)삼표산업,(C)제조업(10~34),서울특별시 종로구,937,29,10,1.07
하나카드㈜,(K)금융 및 보험업(64~66),서울특별시 중구,731,22,8,1.09
㈜휴세코,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 종로구,361,11,4,1.11
흥국생명보험주식회사,(K)금융 및 보험업(64~66),서울특별시 종로구,618,19,7,1.13
아시아나IDT(주),(J)정보통신업(58~63),서울특별시 종로구,611,18,7,1.15
대한제분(주),(C)제조업(10~34),서울특별시 중구,343,10,4,1.17
동광제약(주),(C)제조업(10~34),서울특별시 중구,419,12,5,1.19
성균관대학교,(P)교육 서비스업(85),서울특별시 종로구,3277,101,40,1.22
여천NCC㈜,(C)제조업(10~34),서울특별시 종로구,1011,31,14,1.38
한국국방연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 동대문구,511,17,10,1.96
연세대학교산학협력단,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 서대문구,1580,48,7,0.44
(주)다인맨파워,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 서대문구,980,30,5,0.51
(주)왕용건설,(F)건설업(41~42),서울특별시 서대문구,453,14,3,0.66
(학교법인)연세대학교,(P)교육 서비스업(85),서울특별시 서대문구,15923,493,115,0.72
이화여자대학교산학협력단,(P)교육 서비스업(85),서울특별시 서대문구,411,12,3,0.73
